"","STL","ATL","Series Winner"
"840","2","3","ATL"
"841","3","2","STL"
"842","0","3","ATL"
"843","0","3","ATL"
"844","2","3","ATL"
"845","3","1","STL"
"846","3","0","STL"
"847","2","3","ATL"
"848","3","2","STL"
"849","3","0","STL"
"850","2","3","ATL"
"851","1","3","ATL"
"852","1","3","ATL"
"853","3","0","STL"
"854","0","3","ATL"
"855","3","2","STL"
"856","3","0","STL"
"857","1","3","ATL"
"858","2","3","ATL"
"859","2","3","ATL"
"860","2","3","ATL"
"861","0","3","ATL"
"862","3","0","STL"
"863","1","3","ATL"
"864","3","2","STL"
"865","3","2","STL"
"866","3","2","STL"
"867","1","3","ATL"
"868","0","3","ATL"
"869","2","3","ATL"
"870","3","2","STL"
"871","1","3","ATL"
"872","1","3","ATL"
"873","2","3","ATL"
"874","1","3","ATL"
"875","1","3","ATL"
"876","3","2","STL"
"877","3","2","STL"
"878","2","3","ATL"
"879","2","3","ATL"
"880","3","2","STL"
"881","3","0","STL"
"882","3","2","STL"
"883","0","3","ATL"
"884","2","3","ATL"
"885","2","3","ATL"
"886","3","2","STL"
"887","3","0","STL"
"888","3","0","STL"
"889","0","3","ATL"
"890","3","0","STL"
"891","2","3","ATL"
"892","0","3","ATL"
"893","1","3","ATL"
"894","0","3","ATL"
"895","2","3","ATL"
"896","2","3","ATL"
"897","3","0","STL"
"898","0","3","ATL"
"899","3","2","STL"
"900","0","3","ATL"
"901","2","3","ATL"
"902","0","3","ATL"
"903","1","3","ATL"
"904","2","3","ATL"
"905","3","1","STL"
"906","3","2","STL"
"907","2","3","ATL"
"908","2","3","ATL"
"909","1","3","ATL"
"910","3","0","STL"
"911","0","3","ATL"
"912","0","3","ATL"
"913","2","3","ATL"
"914","1","3","ATL"
"915","2","3","ATL"
"916","2","3","ATL"
"917","1","3","ATL"
"918","1","3","ATL"
"919","1","3","ATL"
"920","2","3","ATL"
"921","3","1","STL"
"922","2","3","ATL"
"923","1","3","ATL"
"924","3","2","STL"
"925","2","3","ATL"
"926","3","1","STL"
"927","2","3","ATL"
