"","TBR","OAK","Winner"
"883","4","14","OAK"
"884","1","4","OAK"
"885","3","8","OAK"
"886","6","3","TBR"
"887","7","14","OAK"
"888","1","20","OAK"
"889","0","2","OAK"
"890","11","4","TBR"
"891","3","7","OAK"
"892","13","9","TBR"
"893","6","1","TBR"
"894","9","2","TBR"
"895","10","1","TBR"
"896","4","8","OAK"
"897","6","4","TBR"
"898","5","6","OAK"
"899","4","4","OAK"
"900","1","8","OAK"
"901","10","8","TBR"
"902","4","1","TBR"
"903","2","5","OAK"
"904","3","6","OAK"
"905","7","12","OAK"
"906","4","5","OAK"
"907","7","5","TBR"
"908","0","18","OAK"
"909","7","8","OAK"
"910","11","11","TBR"
"911","6","0","TBR"
"912","4","9","OAK"
"913","9","10","OAK"
"914","0","7","OAK"
"915","2","4","OAK"
"916","2","4","OAK"
"917","3","5","OAK"
"918","11","7","TBR"
"919","2","11","OAK"
"920","8","10","OAK"
"921","3","5","OAK"
"922","4","6","OAK"
"923","3","2","TBR"
"924","3","3","TBR"
"925","6","5","TBR"
"926","4","6","OAK"
"927","6","9","OAK"
"928","4","1","TBR"
"929","9","6","TBR"
"930","7","3","TBR"
"931","4","4","OAK"
"932","3","1","TBR"
"933","3","2","TBR"
"934","5","5","OAK"
"935","6","3","TBR"
"936","3","9","OAK"
"937","5","7","OAK"
"938","2","1","TBR"
"939","4","8","OAK"
"940","3","8","OAK"
"941","1","13","OAK"
"942","10","5","TBR"
"943","3","0","TBR"
"944","1","4","OAK"
"945","4","2","TBR"
"946","4","6","OAK"
"947","2","3","OAK"
"948","3","3","TBR"
"949","7","4","TBR"
"950","1","4","OAK"
"951","3","3","TBR"
"952","7","9","OAK"
"953","4","5","OAK"
"954","11","4","TBR"
"955","8","10","OAK"
"956","1","5","OAK"
"957","3","6","OAK"
"958","5","6","OAK"
"959","4","5","OAK"
"960","2","5","OAK"
"961","5","7","OAK"
"962","5","5","OAK"
"963","13","7","TBR"
"964","6","6","TBR"
"965","5","7","OAK"
"966","11","9","TBR"
"967","4","7","OAK"
"968","2","8","OAK"
"969","5","3","TBR"
"970","9","2","TBR"
"971","0","9","OAK"
"972","6","5","TBR"
"973","5","6","OAK"
"974","3","4","OAK"
"975","2","12","OAK"
"976","3","3","TBR"
"977","4","9","OAK"
"978","10","2","TBR"
"979","5","10","OAK"
"980","4","6","OAK"
"981","11","8","TBR"
"982","6","8","OAK"
"983","3","6","OAK"
"984","3","9","OAK"
"985","7","5","TBR"
"986","3","2","TBR"
"987","11","6","TBR"
"988","7","4","TBR"
"989","4","3","TBR"
"990","9","9","TBR"
"991","4","5","OAK"
"992","2","1","TBR"
"993","2","5","OAK"
"994","4","7","OAK"
"995","5","1","TBR"
"996","3","10","OAK"
"997","8","5","TBR"
"998","5","4","TBR"
"999","3","0","TBR"
"1000","6","7","OAK"
"1001","5","3","TBR"
"1002","10","1","TBR"
"1003","3","8","OAK"
"1004","1","12","OAK"
"1005","5","4","TBR"
"1006","2","6","OAK"
"1007","2","9","OAK"
"1008","5","7","OAK"
"1009","10","7","TBR"
"1010","13","8","TBR"
"1011","5","1","TBR"
"1012","6","2","TBR"
"1013","4","4","TBR"
"1014","2","11","OAK"
"1015","3","6","OAK"
"1016","4","3","TBR"
"1017","5","12","OAK"
"1018","2","2","TBR"
"1019","5","3","TBR"
"1020","2","2","TBR"
"1021","8","0","TBR"
"1022","2","4","OAK"
"1023","11","13","OAK"
"1024","4","5","OAK"
"1025","7","9","OAK"
"1026","7","7","TBR"
"1027","5","7","OAK"
"1028","3","5","OAK"
"1029","9","11","OAK"
"1030","6","7","OAK"
"1031","9","8","TBR"
"1032","13","3","TBR"
"1033","4","3","TBR"
"1034","4","4","OAK"
"1035","6","2","TBR"
"1036","3","7","OAK"
"1037","2","5","OAK"
"1038","4","3","TBR"
"1039","9","19","OAK"
"1040","8","0","TBR"
"1041","1","2","OAK"
"1042","3","4","OAK"
"1043","4","4","OAK"
"1044","10","12","OAK"
"1045","10","6","TBR"
"1046","13","4","TBR"
"1047","0","6","OAK"
"1048","6","4","TBR"
"1049","1","7","OAK"
"1050","5","13","OAK"
"1051","3","6","OAK"
"1052","8","8","TBR"
"1053","5","2","TBR"
"1054","4","2","TBR"
"1055","11","12","OAK"
"1056","3","5","OAK"
"1057","0","3","OAK"
"1058","4","2","TBR"
"1059","11","9","TBR"
"1060","6","3","TBR"
"1061","5","1","TBR"
"1062","7","4","TBR"
"1063","4","7","OAK"
"1064","5","10","OAK"
"1065","6","15","OAK"
"1066","3","4","OAK"
"1067","7","5","TBR"
"1068","3","5","OAK"
"1069","5","8","OAK"
"1070","2","2","OAK"
"1071","5","12","OAK"
"1072","4","9","OAK"
"1073","6","7","OAK"
"1074","11","3","TBR"
"1075","5","5","TBR"
"1076","3","2","TBR"
"1077","7","6","TBR"
"1078","4","4","TBR"
"1079","7","7","OAK"
"1080","5","6","OAK"
"1081","0","8","OAK"
"1082","7","0","TBR"
"1083","6","5","TBR"
"1084","3","1","TBR"
"1085","9","2","TBR"
"1086","8","11","OAK"
"1087","7","3","TBR"
"1088","6","10","OAK"
"1089","6","3","TBR"
"1090","8","4","TBR"
"1091","4","11","OAK"
"1092","5","11","OAK"
"1093","6","8","OAK"
"1094","5","11","OAK"
"1095","2","8","OAK"
"1096","3","4","OAK"
"1097","6","10","OAK"
"1098","1","3","OAK"
"1099","1","2","OAK"
"1100","2","1","TBR"
"1101","5","13","OAK"
"1102","5","3","TBR"
"1103","2","5","OAK"
"1104","3","3","TBR"
"1105","3","9","OAK"
"1106","1","5","OAK"
"1107","4","5","OAK"
"1108","5","0","TBR"
"1109","1","12","OAK"
"1110","7","9","OAK"
"1111","3","2","TBR"
"1112","1","5","OAK"
"1113","0","5","OAK"
"1114","5","5","OAK"
"1115","2","8","OAK"
"1116","5","4","TBR"
"1117","10","6","TBR"
"1118","9","5","TBR"
"1119","6","13","OAK"
"1120","3","1","TBR"
"1121","12","1","TBR"
"1122","6","4","TBR"
"1123","5","5","TBR"
"1124","4","4","OAK"
"1125","5","1","TBR"
"1126","7","3","TBR"
"1127","6","2","TBR"
"1128","6","2","TBR"
"1129","6","4","TBR"
"1130","2","7","OAK"
"1131","4","1","TBR"
"1132","2","9","OAK"
"1133","6","7","OAK"
"1134","6","1","TBR"
"1135","8","2","TBR"
"1136","0","2","OAK"
"1137","7","7","OAK"
"1138","5","4","TBR"
"1139","9","7","TBR"
"1140","5","0","TBR"
"1141","9","4","TBR"
"1142","16","10","TBR"
"1143","6","0","TBR"
"1144","6","10","OAK"
"1145","4","8","OAK"
"1146","9","3","TBR"
"1147","2","4","OAK"
