"","WSN","LAD","Series Winner"
"1065","1","3","LAD"
"1066","1","3","LAD"
"1067","3","1","WSN"
"1068","1","3","LAD"
"1069","3","2","WSN"
"1070","1","3","LAD"
"1071","3","0","WSN"
"1072","0","3","LAD"
"1073","3","2","WSN"
"1074","0","3","LAD"
"1075","2","3","LAD"
"1076","3","1","WSN"
"1077","1","3","LAD"
"1078","0","3","LAD"
"1079","3","0","WSN"
"1080","3","2","WSN"
"1081","3","0","WSN"
"1082","1","3","LAD"
"1083","2","3","LAD"
"1084","2","3","LAD"
"1085","1","3","LAD"
"1086","1","3","LAD"
"1087","3","1","WSN"
"1088","1","3","LAD"
"1089","0","3","LAD"
"1090","3","2","WSN"
"1091","0","3","LAD"
"1092","2","3","LAD"
"1093","3","0","WSN"
"1094","2","3","LAD"
"1095","3","1","WSN"
"1096","0","3","LAD"
"1097","3","1","WSN"
"1098","2","3","LAD"
"1099","2","3","LAD"
"1100","1","3","LAD"
"1101","0","3","LAD"
"1102","2","3","LAD"
"1103","1","3","LAD"
"1104","0","3","LAD"
"1105","3","1","WSN"
"1106","1","3","LAD"
"1107","3","2","WSN"
"1108","3","2","WSN"
"1109","0","3","LAD"
"1110","1","3","LAD"
"1111","3","1","WSN"
"1112","0","3","LAD"
"1113","3","1","WSN"
"1114","2","3","LAD"
"1115","3","0","WSN"
"1116","0","3","LAD"
"1117","1","3","LAD"
"1118","0","3","LAD"
"1119","3","1","WSN"
"1120","0","3","LAD"
"1121","0","3","LAD"
"1122","3","1","WSN"
"1123","2","3","LAD"
"1124","2","3","LAD"
"1125","1","3","LAD"
"1126","3","1","WSN"
"1127","2","3","LAD"
"1128","1","3","LAD"
"1129","2","3","LAD"
"1130","0","3","LAD"
"1131","2","3","LAD"
"1132","2","3","LAD"
"1133","2","3","LAD"
"1134","3","2","WSN"
"1135","1","3","LAD"
"1136","3","2","WSN"
"1137","0","3","LAD"
"1138","2","3","LAD"
"1139","2","3","LAD"
"1140","1","3","LAD"
"1141","3","2","WSN"
"1142","1","3","LAD"
"1143","1","3","LAD"
"1144","0","3","LAD"
"1145","0","3","LAD"
"1146","0","3","LAD"
"1147","2","3","LAD"
