"","TBR","HOU","Series Winner"
"873","2","3","HOU"
"874","1","3","HOU"
"875","1","3","HOU"
"876","1","3","HOU"
"877","1","3","HOU"
"878","2","3","HOU"
"879","1","3","HOU"
"880","2","3","HOU"
"881","0","3","HOU"
"882","0","3","HOU"
"883","0","3","HOU"
"884","0","3","HOU"
"885","3","2","TBR"
"886","1","3","HOU"
"887","1","3","HOU"
"888","0","3","HOU"
"889","3","1","TBR"
"890","3","0","TBR"
"891","0","3","HOU"
"892","1","3","HOU"
"893","2","3","HOU"
"894","0","3","HOU"
"895","0","3","HOU"
"896","1","3","HOU"
"897","0","3","HOU"
"898","3","2","TBR"
"899","1","3","HOU"
"900","0","3","HOU"
"901","1","3","HOU"
"902","0","3","HOU"
"903","0","3","HOU"
"904","0","3","HOU"
"905","1","3","HOU"
"906","1","3","HOU"
"907","2","3","HOU"
"908","1","3","HOU"
"909","1","3","HOU"
"910","2","3","HOU"
"911","0","3","HOU"
"912","2","3","HOU"
"913","2","3","HOU"
"914","2","3","HOU"
"915","0","3","HOU"
"916","0","3","HOU"
"917","3","1","TBR"
"918","2","3","HOU"
"919","1","3","HOU"
"920","2","3","HOU"
"921","3","2","TBR"
"922","0","3","HOU"
"923","1","3","HOU"
"924","0","3","HOU"
"925","1","3","HOU"
"926","1","3","HOU"
"927","2","3","HOU"
"928","0","3","HOU"
"929","2","3","HOU"
"930","3","1","TBR"
"931","0","3","HOU"
"932","2","3","HOU"
"933","2","3","HOU"
"934","0","3","HOU"
"935","0","3","HOU"
"936","2","3","HOU"
"937","0","3","HOU"
"938","1","3","HOU"
"939","3","2","TBR"
"940","3","1","TBR"
"941","2","3","HOU"
"942","0","3","HOU"
"943","2","3","HOU"
"944","2","3","HOU"
"945","0","3","HOU"
"946","1","3","HOU"
"947","2","3","HOU"
"948","1","3","HOU"
"949","0","3","HOU"
"950","3","2","TBR"
"951","3","1","TBR"
"952","2","3","HOU"
"953","0","3","HOU"
"954","0","3","HOU"
"955","3","1","TBR"
"956","3","2","TBR"
"957","1","3","HOU"
"958","3","2","TBR"
"959","0","3","HOU"
"960","0","3","HOU"
"961","0","3","HOU"
"962","1","3","HOU"
"963","2","3","HOU"
"964","2","3","HOU"
"965","3","2","TBR"
"966","0","3","HOU"
"967","0","3","HOU"
"968","0","3","HOU"
"969","0","3","HOU"
"970","0","3","HOU"
"971","2","3","HOU"
"972","2","3","HOU"
"973","3","1","TBR"
"974","1","3","HOU"
"975","0","3","HOU"
"976","0","3","HOU"
"977","3","0","TBR"
"978","0","3","HOU"
"979","0","3","HOU"
"980","2","3","HOU"
"981","2","3","HOU"
"982","1","3","HOU"
"983","2","3","HOU"
"984","0","3","HOU"
"985","3","2","TBR"
"986","2","3","HOU"
"987","3","1","TBR"
"988","3","1","TBR"
"989","3","1","TBR"
"990","0","3","HOU"
"991","3","1","TBR"
"992","2","3","HOU"
"993","1","3","HOU"
"994","2","3","HOU"
"995","1","3","HOU"
"996","2","3","HOU"
"997","2","3","HOU"
"998","2","3","HOU"
"999","1","3","HOU"
"1000","0","3","HOU"
"1001","3","2","TBR"
"1002","1","3","HOU"
"1003","0","3","HOU"
"1004","3","2","TBR"
"1005","0","3","HOU"
"1006","3","1","TBR"
"1007","2","3","HOU"
"1008","3","2","TBR"
"1009","2","3","HOU"
"1010","0","3","HOU"
"1011","2","3","HOU"
"1012","1","3","HOU"
"1013","0","3","HOU"
"1014","1","3","HOU"
"1015","0","3","HOU"
"1016","2","3","HOU"
"1017","2","3","HOU"
"1018","0","3","HOU"
"1019","0","3","HOU"
"1020","0","3","HOU"
"1021","1","3","HOU"
"1022","2","3","HOU"
"1023","3","2","TBR"
"1024","3","1","TBR"
"1025","0","3","HOU"
"1026","3","2","TBR"
"1027","3","2","TBR"
"1028","3","2","TBR"
"1029","0","3","HOU"
"1030","0","3","HOU"
"1031","0","3","HOU"
"1032","0","3","HOU"
"1033","2","3","HOU"
"1034","3","1","TBR"
"1035","0","3","HOU"
"1036","1","3","HOU"
"1037","0","3","HOU"
"1038","2","3","HOU"
"1039","3","0","TBR"
"1040","2","3","HOU"
"1041","0","3","HOU"
"1042","1","3","HOU"
"1043","2","3","HOU"
"1044","2","3","HOU"
"1045","2","3","HOU"
"1046","3","2","TBR"
"1047","0","3","HOU"
"1048","3","1","TBR"
"1049","1","3","HOU"
"1050","0","3","HOU"
"1051","0","3","HOU"
"1052","0","3","HOU"
"1053","3","1","TBR"
"1054","3","2","TBR"
"1055","3","1","TBR"
"1056","1","3","HOU"
"1057","1","3","HOU"
"1058","1","3","HOU"
"1059","0","3","HOU"
"1060","2","3","HOU"
"1061","2","3","HOU"
"1062","0","3","HOU"
"1063","1","3","HOU"
"1064","2","3","HOU"
"1065","1","3","HOU"
"1066","3","1","TBR"
"1067","2","3","HOU"
"1068","0","3","HOU"
"1069","0","3","HOU"
"1070","3","2","TBR"
"1071","3","1","TBR"
"1072","1","3","HOU"
"1073","0","3","HOU"
"1074","0","3","HOU"
"1075","2","3","HOU"
"1076","2","3","HOU"
"1077","1","3","HOU"
"1078","0","3","HOU"
"1079","0","3","HOU"
"1080","2","3","HOU"
"1081","0","3","HOU"
"1082","2","3","HOU"
"1083","3","0","TBR"
"1084","1","3","HOU"
"1085","3","1","TBR"
"1086","2","3","HOU"
"1087","0","3","HOU"
"1088","2","3","HOU"
"1089","2","3","HOU"
"1090","0","3","HOU"
"1091","3","2","TBR"
"1092","2","3","HOU"
"1093","0","3","HOU"
"1094","3","2","TBR"
"1095","3","2","TBR"
"1096","1","3","HOU"
"1097","1","3","HOU"
"1098","3","2","TBR"
"1099","3","2","TBR"
"1100","0","3","HOU"
"1101","1","3","HOU"
"1102","2","3","HOU"
"1103","1","3","HOU"
"1104","1","3","HOU"
"1105","0","3","HOU"
"1106","0","3","HOU"
"1107","2","3","HOU"
"1108","0","3","HOU"
"1109","0","3","HOU"
"1110","2","3","HOU"
"1111","1","3","HOU"
"1112","3","0","TBR"
"1113","0","3","HOU"
"1114","2","3","HOU"
"1115","2","3","HOU"
"1116","3","0","TBR"
"1117","1","3","HOU"
"1118","0","3","HOU"
"1119","2","3","HOU"
"1120","3","1","TBR"
"1121","3","2","TBR"
"1122","2","3","HOU"
"1123","3","1","TBR"
"1124","0","3","HOU"
"1125","1","3","HOU"
"1126","3","1","TBR"
"1127","1","3","HOU"
"1128","0","3","HOU"
"1129","3","1","TBR"
